	time	heart	temp	temp1	temenv	Red_AC	IR_AC	body	step	bodymove	breathe	movetypr	movepower	Red_DC	IR_DC	sig	overall	energy	test1	test2	test3	test4	if_body_abnormal
85	2020/10/11 9:24:32	131	36.38	36.4	83	38	26	2	0	255	42	2	19	44	58	1	100	0.09	95	37	27.15	1	1
86	2020/10/11 9:24:35	131	36.38	36.4	83	42	27	2	0	255	41	2	14	45	58	1	100	0.09	94	37	26.99	1	1
87	2020-10-11 09:24:38	2																					1
88	2020/10/11 9:24:38	129	36.37	36.4	83	42	28	1	0	255	40	2	23	45	58	1	100	0.08	94	37	26.91	1	1
89	2020-10-11 09:24:41	2																					1
90	2020/10/11 9:24:41	128	36.37	36.4	83	42	28	1	0	255	40	2	23	60	70	1	100	0.08	94	37	26.87	1	1
91	2020-10-11 09:24:44	2																					1
92	2020/10/11 9:24:44	126	36.36	36.39	83	42	28	1	0	255	39	2	34	51	63	1	100	0.08	94	37	26.85	1	1
93	2020-10-11 09:24:47	2																					1
94	2020/10/11 9:24:47	122	36.36	36.39	83	43	28	2	0	255	38	2	30	18	37	1	100	0.08	94	37	26.83	0	1
95	2020/10/11 9:24:50	119	36.35	36.39	83	43	28	2	0	255	37	2	32	53	63	1	100	0.08	94	37	26.83	1	1
96	2020/10/11 9:24:53	115	36.35	36.39	83	45	30	2	0	1	36	2	20	47	58	1	100	0.07	94	37	26.83	1	1
97	2020-10-11 09:24:56	2																					1
98	2020/10/11 9:24:56	111	36.35	36.39	83	49	31	1	0	255	35	2	23	48	58	1	100	0.07	94	37	26.83	1	1
99	2020/10/11 9:24:59	107	36.34	36.39	83	49	31	2	0	255	34	2	21	48	59	1	100	0.07	94	37	26.83	1	1
100	2020-10-11 09:25:02	2																					1
101	2020/10/11 9:25:02	105	36.34	36.38	84	62	32	2	0	255	33	2	17	55	63	1	100	0.07	94	36.94	26.41	1	1
102	2020/10/11 9:25:05	104	36.33	36.38	84	62	32	2	0	255	32	2	21	27	43	1	100	0.07	94	36.94	26.2	1	1
103	2020-10-11 09:25:08	2																					1
104	2020/10/11 9:25:08	103	36.33	36.38	84	76	34	2	0	1	31	2	13	23	40	1	100	0.07	94	36.94	26.1	1	1
105	2020-10-11 09:25:11	2																					1
106	2020/10/11 9:25:11	103	36.32	36.38	84	76	34	1	0	255	30	2	20	68	72	1	100	0.07	94	36.94	26.04	1	0
107	2020/10/11 9:25:14	104	36.32	36.38	84	81	35	1	0	255	29	2	32	71	76	1	100	0.07	95	36.94	26.02	1	0
108	2020/10/11 9:25:17	105	36.31	36.37	84	85	35	2	0	255	29	2	23	72	76	1	100	0.07	95	36.94	26.01	1	0
109	2020/10/11 9:25:20	105	36.31	36.37	84	85	36	2	0	255	28	2	32	67	70	1	100	0.07	94	36.94	26	1	0
110	2020/10/11 9:25:23	105	36.3	36.37	84	103	39	2	0	255	27	2	24	61	66	1	100	0.07	94	36.94	26	1	0
111	2020/10/11 9:25:26	103	36.3	36.37	84	103	39	1	0	1	27	2	15	62	65	1	100	0.07	95	36.94	25.99	1	0
112	2020/10/11 9:25:29	101	36.29	36.37	84	117	39	1	0	1	26	2	10	61	65	1	100	0.06	95	36.94	25.99	1	0
113	2020/10/11 9:25:32	96	36.29	36.37	85	125	38	1	0	1	25	1	6	61	65	1	100	0.03	95	36.88	25.51	1	0
114	2020/10/11 9:25:35	91	36.29	36.36	85	115	37	1	0	19	24	1	4	61	64	1	100	0.02	94	36.88	25.26	1	0
115	2020/10/11 9:25:38	89	36.28	36.36	85	106	45	1	0	31	24	1	3	59	64	1	100	0.02	94	36.88	25.14	1	0
116	2020/10/11 9:25:41	87	36.27	36.36	85	100	47	1	0	1	23	1	2	59	65	1	100	0.02	94	36.88	25.08	1	0
